bug_id,total
43814,8
44278,16
47624,10
47982,14
49106,3
49169,21
49270,3
49874,6
50293,3
50892,17
51056,18
51983,25
52065,14
52376,9
55138,2
55639,1
55831,1
60707,1
60961,14
60981,12
60994,4
61525,1
61584,3
61597,9
62032,11
62106,6
63343,7
63380,5
63767,4
63941,2
64173,4
64196,5
64280,5
64291,10
64346,12
64531,13
65069,7
65154,2
65398,1
65600,4
66013,15
66019,3
66095,5
66486,2
66694,4
67292,2
67351,3
67383,4
67414,2
67736,3
68230,2
68466,6
68606,1
